"all questions"	"definition"
"age"	"age"
"ethnic_group"	"Ethnic group"
"marital_status"	"Marital status"
"edu_level"	"Education level"
"pt_home"	"description of the living place"
"smokes"	"Does the individual smokes"
"ever_smoked"	"Has the individual ever smoked"
"age_smoker"	"at what age the individual first smoke"
"cigas_num"	"CIGAR number"
"smoker_yrs"	"Year beginning smoking"
"alcohol"	"Do you take alcohol?"
"alcohol_ever"	"Have you ever taken alcohol in the past?"
"alcohol_amnt"	"On the days that you drink/drank, how many drinks do/did you normally have?"
"alcohol_weekly"	"On average, how many days a week do/did you Drink?"
"herbs_use"	"Have you used traditional/herbal medicine for any ailments before?"
"herbs_genital"	"Have you ever used traditional/herbal medicine which
is inserted into the vagina or applied around the vulval area?"
"warts_history"	"Have you ever had vulval warts?"
"warts_yr_dx"	"What year did you first notice vulval warts?"
"warts_vagina"	"Have you had warts involving vagina site"
"warts_anus"	"Have you had warts involving anus site"
"warts_both_anogen"	"Have you had warts involving both anogen sites"
"warts_other"	"Have you had warts involving other site"
"hiv_pos_yr"	"What year did you first test positive for HIV, the virus that causes AIDS?"
"cd4_on_dx"	"What was your first CD4 count after testing positive for HIV?/CD4 count"
"cd4_recent"	"What is your most recent CD4 count result?"
"cd4_rec_date"	"When was your latest CD4 count taken (Month and year)?"
"cd4_lowest"	"What is the lowest CD4 count result you have ever Had?"
"vl_ever"	"Have you ever had a viral load test?"
"vl_latest"	"What is your most recent viral load test result?"
"vl_when"	"When was your most recent viral load test taken (Month and Year)?"
"vl_first"	"What was your first viral load test result after testing positive for HIV?"
"vl_highest"	"What is the highest viral load test result you have ever had?"
"on_art"	"Are you on anti-retroviral treatment (ARVs)?"
"art_time"	"How long have you been on ARVs (months)?"
"nw_art_tenofovir"	"What ARV drug combination are you currently on? Tenofovir"
"nw_art_efavirenz"	"What ARV drug combination are you currently on? Efavirenz"
"nw_art_atazanavir"	"What ARV drug combination are you currently on? Atazanavir"
"nw_art_raltegravir"	"What ARV drug combination are you currently on? Raltegravir"
"nw_art_lamivudine"	"What ARV drug combination are you currently on? Lamivudine"
"nw_art_nevirapine"	"What ARV drug combination are you currently on? Nevirapine"
"nw_art_lopinavir"	"What ARV drug combination are you currently on? Lopinavir"
"nw_art_dolutegravir"	"What ARV drug combination are you currently on? Dolutegravir"
"nw_art_zidovudine"	"What ARV drug combination are you currently on? Zidovudine"
"nw_art_darunavir"	"What ARV drug combination are you currently on? Darunavir"
"nw_art_abacavir"	"What ARV drug combination are you currently on? Abacavir"
"nw_art_stavudine"	"What ARV drug combination are you currently on? Stavudine"
"art_comb_time"	"How long have you been on this drug combination?"
"dif_art_comb"	"Have you ever been on any other ARV drug Combination?"
"pst_art_tenofovir"	" If Yes, indicate the combination and duration of treatment for each: tenofovir"
"pst_art_efavirenz"	" If Yes, indicate the combination and duration of treatment for each: efavirenz"
"pst_art_atazanavir"	" If Yes, indicate the combination and duration of treatment for each: atazanavir"
"pst_art_raltegravir"	" If Yes, indicate the combination and duration of treatment for each: raltegravir"
"pst_art_lamivudine"	" If Yes, indicate the combination and duration of treatment for each: lamivudine"
"pst_art_nevirapine"	" If Yes, indicate the combination and duration of treatment for each: nevirapine"
"pst_art_lopinavir"	" If Yes, indicate the combination and duration of treatment for each: lopinavir"
"pst_art_dolutegravir"	" If Yes, indicate the combination and duration of treatment for each: dolutegravir"
"pst_art_zidovudine"	" If Yes, indicate the combination and duration of treatment for each: zidovudine"
"pst_art_darunavir"	" If Yes, indicate the combination and duration of treatment for each: darunavir"
